customer_id,signup_date,plan_tier,monthly_price,contract_type,payment_method,country,industry,company_size_employees,monthly_active_users_pct,feature_adoption_count,support_tickets_90d,avg_csat_score,failed_payments_90d,last_login_days_ago,churned,churn_date,tenure_months,lifetime_revenue
C00022,2023-05-01,Basic,29,1-Year,PayPal,Canada,Finance,32,0.641,4,0,4.33,0,2,0,,40,1160
C00023,2025-08-01,Pro,79,1-Year,Credit Card,India,Healthcare,21,0.36,2,2,5.0,0,52,1,2026-02-01,7,553
C00024,2024-12-01,Pro,79,Month-to-month,Manual Invoice,India,Marketing/Agency,16,0.672,5,2,2.56,2,4,1,2025-07-01,8,632
C00025,2025-08-01,Basic,29,2-Year,PayPal,Australia,Manufacturing,3,0.446,5,1,3.37,0,26,0,,13,377
C00026,2023-07-01,Basic,29,2-Year,Credit Card,USA,Nonprofit,29,0.112,3,5,3.31,0,5,1,2024-03-01,9,261
C00027,2024-12-01,Pro,79,1-Year,ACH/Bank Transfer,USA,Marketing/Agency,6,0.355,4,1,3.88,0,4,1,2025-02-01,3,237
C00028,2025-07-01,Basic,29,Month-to-month,ACH/Bank Transfer,Germany,Education,5,0.622,4,2,3.88,0,5,0,,14,406
C00029,2026-06-01,Pro,79,Month-to-month,Credit Card,UK,E-commerce,19,0.623,4,1,3.74,0,0,0,,3,237
C00030,2024-09-01,Pro,79,1-Year,Credit Card,India,Education,10,0.475,6,2,3.3,1,6,0,,24,1896
C00031,2023-02-01,Enterprise,199,Month-to-month,Credit Card,Germany,SaaS/Tech,34,0.487,2,1,2.21,1,8,0,,43,8557
C00032,2026-01-01,Basic,29,1-Year,Manual Invoice,Australia,Education,3,0.646,5,0,4.31,0,3,0,,8,232
C00033,2026-04-01,Basic,29,1-Year,Manual Invoice,Germany,Nonprofit,5,0.508,2,2,3.67,0,16,0,,5,145
C00034,2023-08-01,Basic,29,Month-to-month,Credit Card,India,E-commerce,33,0.377,6,1,4.6,0,9,0,,37,1073
C00035,2025-06-01,Pro,79,1-Year,ACH/Bank Transfer,Australia,Manufacturing,14,0.323,3,2,3.31,0,6,0,,15,1185
C00036,2024-03-01,Basic,29,2-Year,Credit Card,India,Finance,30,0.608,11,2,4.21,0,5,0,,30,870
C00037,2025-12-01,Enterprise,199,Month-to-month,PayPal,USA,Marketing/Agency,2,0.435,5,4,2.48,2,0,1,2025-12-01,1,199
C00038,2023-03-01,Pro,79,1-Year,PayPal,India,SaaS/Tech,26,0.603,3,2,3.52,2,17,1,2024-08-01,18,1422
C00039,2024-06-01,Pro,79,Month-to-month,Credit Card,Germany,Manufacturing,96,0.124,3,0,4.47,0,18,0,,27,2133
C00040,2025-07-01,Enterprise,199,Month-to-month,Manual Invoice,India,Education,11,0.27,4,1,4.53,0,0,0,,14,2786
C00041,2026-02-01,Pro,79,1-Year,PayPal,Australia,Healthcare,11,0.351,4,2,4.25,0,2,0,,7,553
C00042,2024-01-01,Basic,29,Month-to-month,PayPal,Germany,SaaS/Tech,226,0.73,8,3,4.86,0,88,1,2024-07-01,7,203
C00043,2025-01-01,Basic,29,Month-to-month,Credit Card,Canada,SaaS/Tech,6,0.496,2,1,4.5,0,2,0,,20,580
C00044,2024-05-01,Basic,29,Month-to-month,Credit Card,Canada,E-commerce,5,0.206,5,2,4.25,0,4,0,,28,812
C00045,2026-02-01,Basic,29,Month-to-month,Credit Card,USA,Marketing/Agency,17,0.611,0,0,4.73,0,11,0,,7,203
C00046,2023-05-01,Basic,29,1-Year,PayPal,USA,Marketing/Agency,5,0.945,5,2,3.17,1,7,1,2024-02-01,10,290
C00047,2024-01-01,Pro,79,1-Year,Credit Card,UK,E-commerce,33,0.625,1,0,2.85,1,28,0,,32,2528
C00048,2025-07-01,Basic,29,2-Year,ACH/Bank Transfer,USA,E-commerce,72,0.637,2,0,5.0,0,2,0,,14,406
C00049,2023-04-01,Basic,29,2-Year,Credit Card,India,Nonprofit,13,0.386,4,1,4.92,1,28,0,,41,1189
C00050,2023-11-01,Pro,79,Month-to-month,PayPal,Canada,Education,24,0.276,2,2,3.43,1,13,1,2026-05-01,31,2449
C00051,2024-09-01,Basic,29,1-Year,Credit Card,USA,E-commerce,4,0.294,8,0,3.66,1,8,0,,24,696
C00052,2026-02-01,Basic,29,Month-to-month,Credit Card,Australia,Finance,124,0.936,5,3,4.03,0,5,0,,7,203
C00053,2024-02-01,Basic,29,Month-to-month,Credit Card,Australia,Marketing/Agency,1,0.233,4,1,3.96,0,4,0,,31,899
C00054,2023-02-01,Enterprise,199,1-Year,Credit Card,USA,Nonprofit,2,0.527,6,1,1.75,0,8,0,,43,8557
C00055,2024-11-01,Pro,79,Month-to-month,PayPal,USA,E-commerce,17,0.401,6,1,3.8,1,1,1,2024-12-01,2,158
C00056,2023-05-01,Basic,29,Month-to-month,PayPal,Germany,Nonprofit,8,0.338,3,4,3.85,1,19,1,2023-11-01,7,203
C00057,2024-04-01,Basic,29,Month-to-month,Manual Invoice,Canada,E-commerce,26,0.618,3,0,4.19,0,7,1,2025-05-01,14,406
C00058,2024-02-01,Pro,79,Month-to-month,PayPal,Australia,Marketing/Agency,11,0.02,4,2,4.0,0,17,1,2025-01-01,12,948
C00059,2024-11-01,Basic,29,2-Year,Manual Invoice,USA,Finance,14,0.494,2,0,3.9,0,34,1,2025-10-01,12,348
C00060,2024-05-01,Basic,29,1-Year,Credit Card,India,Healthcare,55,0.652,4,4,3.57,1,1,0,,28,812
C00061,2025-08-01,Enterprise,199,Month-to-month,ACH/Bank Transfer,Canada,Marketing/Agency,14,0.577,5,0,4.31,0,11,0,,13,2587
C00062,2025-05-01,Pro,79,Month-to-month,PayPal,Germany,Manufacturing,4,0.32,3,1,4.28,0,6,0,,16,1264
C00063,2025-10-01,Pro,79,1-Year,ACH/Bank Transfer,USA,Nonprofit,1,0.78,3,2,3.5,0,10,0,,11,869
C00064,2026-05-01,Basic,29,Month-to-month,Credit Card,UK,Finance,35,0.432,8,1,4.11,1,19,0,,4,116
C00065,2025-05-01,Basic,29,Month-to-month,Credit Card,USA,Manufacturing,57,0.314,4,2,4.2,0,9,0,,16,464
C00066,2024-07-01,Enterprise,199,2-Year,Credit Card,Germany,Nonprofit,21,0.574,3,1,4.01,0,15,0,,26,5174
C00067,2023-02-01,Pro,79,2-Year,ACH/Bank Transfer,USA,Nonprofit,15,0.764,3,1,4.63,1,14,0,,43,3397
C00068,2025-12-01,Basic,29,Month-to-month,PayPal,Canada,Marketing/Agency,84,0.572,2,1,4.41,1,0,1,2026-04-01,5,145
C00069,2023-05-01,Basic,29,1-Year,Credit Card,Germany,SaaS/Tech,12,0.496,5,1,4.03,0,17,0,,40,1160
C00070,2024-10-01,Pro,79,Month-to-month,Credit Card,India,Marketing/Agency,1,0.654,3,1,3.49,0,15,0,,23,1817
C00071,2026-05-01,Basic,29,2-Year,Credit Card,USA,Nonprofit,1,0.47,6,0,2.97,0,2,0,,4,116
C00072,2024-09-01,Basic,29,1-Year,Credit Card,UK,Healthcare,2,0.642,3,0,2.76,0,9,0,,24,696
C00073,2026-01-01,Pro,79,Month-to-month,Manual Invoice,Canada,Nonprofit,88,0.715,3,0,3.05,0,11,0,,8,632
C00074,2023-09-01,Basic,29,Month-to-month,Credit Card,UK,E-commerce,8,1.0,5,0,2.37,0,19,1,2024-07-01,11,319
C00075,2026-06-01,Basic,29,2-Year,Manual Invoice,Canada,Manufacturing,68,0.352,5,2,1.94,2,15,0,,3,87
C00076,2024-05-01,Pro,79,Month-to-month,PayPal,USA,E-commerce,30,0.33,6,1,5.0,0,12,0,,28,2212
C00077,2024-04-01,Pro,79,1-Year,Credit Card,UK,Healthcare,38,0.444,5,4,5.0,1,2,0,,29,2291
C00078,2024-05-01,Basic,29,Month-to-month,ACH/Bank Transfer,USA,Nonprofit,97,0.072,2,2,5.0,0,20,1,2024-07-01,3,87
C00079,2024-07-01,Basic,29,Month-to-month,Manual Invoice,Canada,Manufacturing,1,0.203,5,2,1.77,1,6,0,,26,754
C00080,2025-03-01,Basic,29,Month-to-month,Credit Card,Germany,Nonprofit,4,0.674,2,2,3.5,1,6,1,2025-03-01,1,29
C00081,2025-01-01,Pro,79,Month-to-month,Credit Card,USA,Finance,22,0.713,3,2,4.59,2,20,0,,20,1580
C00082,2026-02-01,Basic,29,Month-to-month,Manual Invoice,Australia,E-commerce,26,0.622,3,2,4.65,0,12,0,,7,203
C00083,2023-03-01,Basic,29,Month-to-month,Credit Card,UK,Nonprofit,10,0.752,3,1,5.0,0,25,0,,42,1218
C00084,2025-07-01,Enterprise,199,1-Year,Credit Card,Germany,Marketing/Agency,2,0.589,7,0,3.02,0,17,0,,14,2786
C00085,2025-12-01,Basic,29,2-Year,Credit Card,USA,Education,9,0.96,5,0,3.56,0,7,0,,9,261
C00086,2023-09-01,Enterprise,199,Month-to-month,ACH/Bank Transfer,Germany,Manufacturing,16,0.205,3,2,3.8,0,13,0,,36,7164
C00087,2023-08-01,Basic,29,Month-to-month,Credit Card,UK,Marketing/Agency,6,0.694,3,2,3.6,0,4,0,,37,1073
C00088,2026-07-01,Pro,79,Month-to-month,ACH/Bank Transfer,USA,Marketing/Agency,24,0.614,4,3,3.9,1,21,0,,2,158
C00089,2024-07-01,Pro,79,Month-to-month,Credit Card,Australia,Marketing/Agency,47,0.651,6,0,3.99,0,43,1,2025-10-01,16,1264
C00090,2025-09-01,Basic,29,Month-to-month,Credit Card,USA,Manufacturing,3,0.674,5,0,4.16,0,5,0,,12,348
C00091,2025-12-01,Basic,29,1-Year,PayPal,Canada,Marketing/Agency,11,0.297,5,1,2.1,2,10,1,2025-12-01,1,29
C00092,2025-09-01,Basic,29,Month-to-month,Credit Card,UK,Marketing/Agency,30,0.596,10,0,2.08,0,16,0,,12,348
C00093,2025-09-01,Basic,29,1-Year,Credit Card,USA,Education,4,0.715,7,2,4.5,0,2,0,,12,348
C00094,2023-08-01,Basic,29,2-Year,Credit Card,India,SaaS/Tech,11,0.72,5,0,3.43,1,17,1,2026-07-01,36,1044
C00095,2026-07-01,Basic,29,Month-to-month,PayPal,Germany,Finance,16,0.547,2,2,5.0,2,2,0,,2,58
C00096,2024-11-01,Basic,29,Month-to-month,Credit Card,USA,E-commerce,2,0.45,8,2,5.0,0,3,0,,22,638
C00097,2023-11-01,Basic,29,Month-to-month,PayPal,Australia,Healthcare,20,0.613,2,2,2.4,1,1,1,2024-01-01,3,87
C00098,2024-06-01,Basic,29,1-Year,PayPal,Australia,E-commerce,38,0.034,1,2,4.13,0,0,0,,27,783
C00099,2023-05-01,Pro,79,2-Year,Credit Card,Germany,Marketing/Agency,47,0.226,4,2,3.84,1,16,0,,40,3160
C00100,2025-10-01,Basic,29,1-Year,PayPal,USA,Healthcare,10,0.163,7,2,3.37,0,10,0,,11,319
C00101,2025-10-01,Enterprise,199,2-Year,ACH/Bank Transfer,UK,Healthcare,12,0.63,2,2,3.42,0,13,0,,11,2189
C00102,2024-03-01,Basic,29,Month-to-month,Credit Card,India,Manufacturing,42,0.246,5,0,4.18,0,53,0,,30,870
C00103,2024-04-01,Pro,79,1-Year,Credit Card,Canada,Marketing/Agency,21,0.607,5,4,2.8,0,3,0,,29,2291
C00104,2023-04-01,Basic,29,2-Year,ACH/Bank Transfer,Germany,SaaS/Tech,56,0.566,7,0,3.26,0,3,0,,41,1189
C00105,2025-11-01,Basic,29,Month-to-month,PayPal,India,Manufacturing,3,0.423,5,1,4.57,0,9,0,,10,290
C00106,2025-03-01,Pro,79,Month-to-month,Credit Card,India,Education,4,0.319,2,2,3.72,1,26,0,,18,1422
C00107,2024-12-01,Pro,79,Month-to-month,Credit Card,Australia,Finance,56,0.596,3,2,5.0,2,14,0,,21,1659
C00108,2026-06-01,Basic,29,Month-to-month,PayPal,UK,Education,2,0.143,2,1,3.96,0,6,0,,3,87
C00109,2024-01-01,Pro,79,Month-to-month,Credit Card,Australia,Manufacturing,1,0.559,4,1,4.6,0,21,0,,32,2528
C00110,2026-07-01,Pro,79,2-Year,PayPal,Canada,Healthcare,38,0.698,7,2,3.77,0,9,0,,2,158
C00111,2024-11-01,Basic,29,Month-to-month,Credit Card,Germany,E-commerce,43,0.102,2,1,4.21,2,2,1,2026-03-01,17,493
C00112,2023-12-01,Basic,29,1-Year,ACH/Bank Transfer,USA,SaaS/Tech,13,0.694,4,0,4.61,1,25,1,2025-09-01,22,638
C00113,2025-11-01,Basic,29,Month-to-month,Manual Invoice,India,Marketing/Agency,8,0.148,3,0,5.0,0,0,0,,10,290
C00114,2025-07-01,Basic,29,1-Year,ACH/Bank Transfer,Germany,Marketing/Agency,5,0.775,3,0,2.6,1,9,0,,14,406
C00115,2025-01-01,Basic,29,1-Year,Credit Card,Australia,Nonprofit,53,0.686,1,5,1.37,0,56,1,2025-06-01,6,174
C00116,2025-03-01,Basic,29,1-Year,ACH/Bank Transfer,USA,Marketing/Agency,11,0.127,6,0,3.64,1,16,1,2026-07-01,17,493
C00117,2026-05-01,Pro,79,Month-to-month,Credit Card,Germany,Manufacturing,15,0.374,5,1,3.22,0,17,0,,4,316
C00118,2024-09-01,Basic,29,Month-to-month,Credit Card,Germany,Marketing/Agency,8,0.285,4,0,3.34,0,0,0,,24,696
C00119,2023-10-01,Basic,29,Month-to-month,Credit Card,Canada,Finance,39,0.573,3,0,5.0,0,1,1,2024-08-01,11,319
C00120,2024-08-01,Enterprise,199,Month-to-month,Credit Card,USA,E-commerce,12,0.381,4,2,4.27,1,18,0,,25,4975
C00121,2025-08-01,Enterprise,199,2-Year,Credit Card,Canada,SaaS/Tech,7,0.241,1,2,2.86,0,9,1,2026-05-01,10,1990
C00122,2026-07-01,Basic,29,Month-to-month,Credit Card,Canada,Nonprofit,94,0.678,7,2,5.0,0,8,0,,2,58
C00123,2024-06-01,Basic,29,Month-to-month,Credit Card,India,Finance,36,0.331,4,2,4.45,0,6,0,,27,783
C00124,2026-03-01,Basic,29,Month-to-month,Credit Card,India,Nonprofit,58,0.678,6,2,4.87,0,0,0,,6,174
C00125,2023-12-01,Enterprise,199,Month-to-month,Credit Card,USA,SaaS/Tech,3,0.562,3,1,4.35,0,19,0,,33,6567
C00126,2023-09-01,Enterprise,199,2-Year,PayPal,UK,Manufacturing,14,0.593,7,2,3.36,0,1,0,,36,7164
C00127,2025-11-01,Pro,79,1-Year,Credit Card,USA,Education,5,0.636,2,1,4.06,0,3,1,2026-04-01,6,474
C00128,2023-12-01,Basic,29,Month-to-month,Credit Card,USA,SaaS/Tech,17,0.592,4,4,4.22,0,1,0,,33,957
C00129,2024-02-01,Enterprise,199,1-Year,ACH/Bank Transfer,USA,Healthcare,11,0.392,3,1,4.66,0,61,0,,31,6169
C00130,2023-06-01,Enterprise,199,Month-to-month,Credit Card,India,SaaS/Tech,23,0.435,6,0,2.46,1,8,1,2023-09-01,4,796
C00131,2025-06-01,Basic,29,Month-to-month,PayPal,USA,Finance,11,0.561,2,1,4.21,0,27,0,,15,435
C00132,2023-05-01,Pro,79,2-Year,Credit Card,UK,Manufacturing,14,0.71,2,1,3.84,0,7,0,,40,3160
C00133,2025-06-01,Basic,29,Month-to-month,ACH/Bank Transfer,UK,Education,13,0.788,4,3,3.22,0,1,0,,15,435
C00134,2023-06-01,Pro,79,1-Year,PayPal,India,Education,3,0.375,2,0,5.0,1,2,0,,39,3081
C00135,2026-03-01,Basic,29,Month-to-month,Credit Card,USA,Healthcare,93,0.541,6,1,2.58,1,0,0,,6,174
C00136,2023-02-01,Pro,79,2-Year,Credit Card,Canada,E-commerce,14,0.29,5,1,4.43,0,12,0,,43,3397
C00137,2025-12-01,Basic,29,1-Year,Credit Card,USA,Finance,9,0.689,3,0,3.51,0,3,0,,9,261
C00138,2024-10-01,Basic,29,1-Year,PayPal,India,Marketing/Agency,22,1.0,2,0,5.0,0,8,0,,23,667
C00139,2026-07-01,Pro,79,Month-to-month,Credit Card,USA,Manufacturing,7,0.442,5,2,4.74,2,2,0,,2,158
C00140,2023-03-01,Enterprise,199,1-Year,Credit Card,UK,Manufacturing,24,0.491,3,1,2.0,0,3,0,,42,8358
C00141,2026-06-01,Basic,29,1-Year,Credit Card,USA,Manufacturing,2,0.442,4,2,3.83,0,8,0,,3,87
C00142,2025-02-01,Basic,29,Month-to-month,PayPal,Germany,Education,37,0.593,4,4,5.0,1,1,0,,19,551
C00143,2023-06-01,Basic,29,Month-to-month,Credit Card,USA,SaaS/Tech,39,0.525,3,4,2.62,0,8,0,,39,1131
C00144,2024-02-01,Enterprise,199,1-Year,Manual Invoice,India,Finance,34,0.705,4,1,4.53,0,37,0,,31,6169
C00145,2024-01-01,Pro,79,1-Year,Credit Card,USA,Manufacturing,6,0.472,4,3,3.43,1,9,1,2025-03-01,15,1185
C00146,2024-08-01,Pro,79,Month-to-month,Credit Card,USA,Healthcare,90,1.0,3,2,3.78,0,8,0,,25,1975
C00147,2026-03-01,Basic,29,1-Year,Manual Invoice,USA,Nonprofit,22,0.565,5,3,3.64,1,8,0,,6,174
C00148,2026-05-01,Pro,79,1-Year,Credit Card,USA,Marketing/Agency,49,0.273,3,0,3.6,0,8,0,,4,316
C00149,2024-01-01,Basic,29,1-Year,Manual Invoice,Australia,Nonprofit,10,0.35,4,3,3.91,1,2,1,2024-07-01,7,203
C00150,2024-10-01,Basic,29,Month-to-month,Credit Card,USA,SaaS/Tech,16,0.382,6,1,4.44,2,21,1,2025-08-01,11,319
C00151,2023-11-01,Pro,79,1-Year,Credit Card,UK,Education,44,0.925,2,3,2.46,0,5,0,,34,2686
C00152,2025-06-01,Basic,29,2-Year,Credit Card,USA,Healthcare,12,0.535,3,3,4.94,1,76,0,,15,435
C00153,2026-05-01,Basic,29,Month-to-month,ACH/Bank Transfer,UK,Nonprofit,27,0.723,2,1,4.45,0,24,0,,4,116
C00154,2024-04-01,Enterprise,199,Month-to-month,Credit Card,Canada,SaaS/Tech,25,0.866,8,1,5.0,0,0,0,,29,5771
C00155,2024-12-01,Pro,79,2-Year,Credit Card,UK,Marketing/Agency,25,0.829,6,6,4.64,0,12,0,,21,1659
C00156,2025-09-01,Enterprise,199,Month-to-month,PayPal,USA,Education,2,0.531,5,2,3.46,0,7,0,,12,2388
C00157,2023-10-01,Pro,79,1-Year,ACH/Bank Transfer,Germany,Education,45,0.399,4,1,3.26,0,1,0,,35,2765
C00158,2023-11-01,Enterprise,199,Month-to-month,Credit Card,Germany,E-commerce,16,0.816,1,3,3.13,2,12,1,2025-08-01,22,4378
C00159,2024-02-01,Pro,79,2-Year,Manual Invoice,India,E-commerce,9,0.317,3,2,3.14,0,9,0,,31,2449
C00160,2024-11-01,Basic,29,Month-to-month,Credit Card,Germany,Healthcare,11,0.462,1,1,5.0,1,21,0,,22,638
C00161,2023-03-01,Pro,79,Month-to-month,Credit Card,India,Education,92,0.65,4,0,2.42,2,5,1,2023-03-01,1,79
C00162,2023-02-01,Pro,79,1-Year,PayPal,Germany,Education,5,0.76,5,0,5.0,2,46,0,,43,3397
C00163,2025-12-01,Pro,79,1-Year,PayPal,Germany,Nonprofit,22,0.705,5,0,3.02,0,4,0,,9,711
C00164,2025-04-01,Basic,29,1-Year,Credit Card,Australia,Marketing/Agency,8,0.955,5,1,3.79,0,1,0,,17,493
C00165,2023-12-01,Pro,79,Month-to-month,Credit Card,India,E-commerce,50,0.447,3,0,2.54,0,21,1,2023-12-01,1,79
C00166,2024-01-01,Basic,29,2-Year,Manual Invoice,USA,Marketing/Agency,23,0.194,5,1,4.87,1,14,0,,32,928
C00167,2024-10-01,Pro,79,1-Year,PayPal,USA,Healthcare,298,0.652,3,0,4.35,0,4,0,,23,1817
C00168,2025-10-01,Basic,29,Month-to-month,Manual Invoice,India,Finance,10,0.436,5,0,3.77,0,0,0,,11,319
C00169,2024-01-01,Basic,29,1-Year,Credit Card,India,Nonprofit,18,0.611,2,1,3.52,0,9,0,,32,928
C00170,2023-01-01,Basic,29,Month-to-month,Credit Card,USA,Finance,37,0.699,1,0,5.0,0,8,0,,44,1276
C00171,2025-08-01,Pro,79,2-Year,ACH/Bank Transfer,USA,SaaS/Tech,48,0.659,5,1,4.66,0,39,0,,13,1027
C00172,2025-01-01,Basic,29,Month-to-month,Credit Card,USA,SaaS/Tech,39,0.851,3,0,3.69,0,0,0,,20,580
C00173,2024-06-01,Pro,79,1-Year,ACH/Bank Transfer,India,Education,476,0.662,5,0,4.11,0,6,0,,27,2133
C00174,2026-07-01,Enterprise,199,Month-to-month,PayPal,UK,Marketing/Agency,25,0.801,3,2,4.38,0,0,0,,2,398
C00175,2023-07-01,Basic,29,2-Year,ACH/Bank Transfer,USA,Manufacturing,7,0.567,4,2,5.0,2,15,0,,38,1102
C00176,2024-10-01,Pro,79,1-Year,Credit Card,India,Education,131,0.978,2,0,3.35,2,1,1,2025-11-01,14,1106
C00177,2026-04-01,Pro,79,1-Year,ACH/Bank Transfer,Canada,Manufacturing,44,0.253,3,2,2.41,0,23,0,,5,395
C00178,2023-04-01,Pro,79,Month-to-month,PayPal,USA,Manufacturing,66,0.6,4,1,3.7,1,57,1,2026-06-01,39,3081
C00179,2023-08-01,Pro,79,1-Year,PayPal,USA,Healthcare,18,0.271,3,0,5.0,0,9,0,,37,2923
C00180,2025-07-01,Basic,29,Month-to-month,PayPal,Australia,Nonprofit,15,0.62,7,3,5.0,0,1,0,,14,406
C00181,2023-10-01,Basic,29,Month-to-month,PayPal,USA,Education,33,1.0,4,0,5.0,0,4,0,,35,1015
C00182,2025-12-01,Enterprise,199,2-Year,Credit Card,India,SaaS/Tech,9,0.713,4,0,3.43,1,3,0,,9,1791
C00183,2023-08-01,Enterprise,199,2-Year,Credit Card,Australia,Nonprofit,1,0.638,2,0,4.66,0,16,0,,37,7363
C00184,2023-09-01,Pro,79,1-Year,Credit Card,India,Education,30,0.657,4,1,3.56,0,9,0,,36,2844
C00185,2026-04-01,Basic,29,Month-to-month,Credit Card,Canada,Healthcare,43,0.344,5,0,3.72,0,30,0,,5,145
C00186,2025-08-01,Enterprise,199,Month-to-month,Credit Card,UK,SaaS/Tech,11,1.0,4,1,3.99,0,40,0,,13,2587
C00187,2024-06-01,Basic,29,Month-to-month,Credit Card,USA,E-commerce,4,0.446,5,1,3.29,0,5,0,,27,783
C00188,2023-04-01,Enterprise,199,1-Year,Credit Card,India,Education,150,0.722,1,2,2.84,2,3,1,2023-04-01,1,199
C00189,2026-05-01,Basic,29,Month-to-month,Credit Card,USA,Marketing/Agency,38,0.403,1,2,4.62,1,1,0,,4,116
C00190,2023-05-01,Enterprise,199,1-Year,Manual Invoice,India,Manufacturing,25,0.403,0,0,3.53,2,0,1,2023-07-01,3,597
C00191,2026-06-01,Basic,29,1-Year,ACH/Bank Transfer,USA,Manufacturing,143,0.376,0,1,4.34,0,6,0,,3,87
C00192,2025-11-01,Pro,79,Month-to-month,ACH/Bank Transfer,USA,Nonprofit,22,0.416,3,0,3.95,1,19,1,2026-01-01,3,237
C00193,2025-07-01,Basic,29,Month-to-month,Manual Invoice,Canada,Healthcare,23,0.348,3,3,4.16,2,1,0,,14,406
C00194,2024-10-01,Enterprise,199,Month-to-month,Credit Card,USA,Healthcare,7,0.334,2,0,3.26,0,1,0,,23,4577
C00195,2026-05-01,Enterprise,199,Month-to-month,ACH/Bank Transfer,India,Nonprofit,3,0.458,4,1,4.29,0,3,0,,4,796
C00196,2023-05-01,Pro,79,1-Year,Credit Card,UK,SaaS/Tech,35,0.26,7,2,4.55,0,0,0,,40,3160
C00197,2024-02-01,Basic,29,1-Year,Credit Card,Australia,SaaS/Tech,42,0.791,2,0,3.23,1,0,0,,31,899
C00198,2024-02-01,Basic,29,1-Year,Credit Card,Germany,Education,6,0.803,4,0,5.0,1,2,0,,31,899
C00199,2025-11-01,Pro,79,2-Year,PayPal,UK,Healthcare,23,0.637,4,2,2.27,2,12,1,2026-08-01,10,790
C00200,2023-02-01,Pro,79,Month-to-month,ACH/Bank Transfer,India,Nonprofit,10,0.837,4,2,3.55,0,92,1,2024-10-01,21,1659
C00201,2024-04-01,Enterprise,199,Month-to-month,Manual Invoice,USA,Education,10,1.0,6,2,3.84,2,3,1,2026-07-01,28,5572
C00202,2023-06-01,Enterprise,199,Month-to-month,Credit Card,USA,Manufacturing,7,0.481,4,3,3.97,2,7,1,2024-06-01,13,2587
C00203,2024-12-01,Pro,79,Month-to-month,Credit Card,USA,Education,12,0.192,4,2,4.49,1,13,0,,21,1659
C00204,2023-04-01,Enterprise,199,1-Year,Credit Card,Australia,E-commerce,6,0.827,3,1,3.16,0,1,0,,41,8159
C00205,2023-07-01,Basic,29,2-Year,Credit Card,India,Healthcare,22,0.212,2,0,4.56,1,27,0,,38,1102
